phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
huge,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
david,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
lay,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
natural resources,energy/environment,3,8,11,13.04,29.63,1.553066901,0.212683254
happy,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
customer,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
michael,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
unnecessary,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
john,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
running,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
transparent,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
security,NA,8,16,24,34.78,59.26,1.550187869,0.213107708
hard work,NA,8,16,24,34.78,59.26,1.550187869,0.213107708
fact,NA,10,19,29,43.48,70.37,1.548614582,0.213340083
TRUE,NA,10,19,29,43.48,70.37,1.548614582,0.213340083
great state,NA,10,19,29,43.48,70.37,1.548614582,0.213340083
wife,NA,10,19,29,43.48,70.37,1.548614582,0.213340083
000 new jobs,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
progress ve,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
want make,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
build new,economy/fiscal issues,6,3,9,26.09,11.11,1.547504026,0.213504293
years old,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
health care costs,health care,6,3,9,26.09,11.11,1.547504026,0.213504293
hand hand,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
care costs,NA,6,3,9,26.09,11.11,1.547504026,0.213504293
graduate,education,13,9,22,56.52,33.33,1.517786561,0.21795476
fair,NA,13,9,22,56.52,33.33,1.517786561,0.21795476
easy,NA,14,10,24,60.87,37.04,1.469672571,0.225397362
make better,NA,2,6,8,8.7,22.22,1.420289855,0.2333557
general fund,economy/fiscal issues,2,6,8,8.7,22.22,1.420289855,0.2333557
000 students,NA,2,6,8,8.7,22.22,1.420289855,0.2333557
ladies gentlemen,NA,2,6,8,8.7,22.22,1.420289855,0.2333557
god bless,NA,13,23,36,56.52,85.19,1.417248166,0.233856873
fellow,NA,13,23,36,56.52,85.19,1.417248166,0.233856873
primary,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
interests,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
understand,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
accomplish,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
project,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
grade,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
graduation,education,5,11,16,21.74,40.74,1.40136876,0.23649453
rebuild,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
lines,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
drugs,mental health/substance abuse,5,11,16,21.74,40.74,1.40136876,0.23649453
drive,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
production,NA,5,11,16,21.74,40.74,1.40136876,0.23649453
turn,NA,16,12,28,69.57,44.44,1.399585921,0.236792913
needed,NA,11,20,31,47.83,74.07,1.380136097,0.240077966
improve,NA,11,20,31,47.83,74.07,1.380136097,0.240077966
created,NA,11,20,31,47.83,74.07,1.380136097,0.240077966
welcoming,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
doctor,health care,7,4,11,30.43,14.81,1.37739716,0.240545004
tens,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
going make,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
strongest,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
congress,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
morning,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
behalf,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
working families,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
congressional,NA,7,4,11,30.43,14.81,1.37739716,0.240545004
job training,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
including,NA,17,13,30,73.91,48.15,1.374127751,0.241103943
economic impact,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
largest investment,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
budget calls,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
service sacrifice,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
year want,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
god continue,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
air force,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
water quality,energy/environment,1,4,5,4.35,14.81,1.360708535,0.243414724
lowest unemployment,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high paying jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
like ve,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
want begin,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
high demand jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
health issues,health care,1,4,5,4.35,14.81,1.360708535,0.243414724
government spending,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
god continue bless,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
ve great,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
continue bless great,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
child welfare,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
children foster care,education,1,4,5,4.35,14.81,1.360708535,0.243414724
children foster,education,1,4,5,4.35,14.81,1.360708535,0.243414724
think agree,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
important issue,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
increase number,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
today like,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
future state,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
bachelor degree,education,1,4,5,4.35,14.81,1.360708535,0.243414724
step forward,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
state today,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
continue bless,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
join thanking,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
special interests,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
tax cuts,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high paying,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
mental health issues,mental health/substance abuse,1,4,5,4.35,14.81,1.360708535,0.243414724
teacher pay raise,education,1,4,5,4.35,14.81,1.360708535,0.243414724
school boards,education,1,4,5,4.35,14.81,1.360708535,0.243414724
school college,education,1,4,5,4.35,14.81,1.360708535,0.243414724
department transportation,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
make sense,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
access high,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
private partnership,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
school student,education,1,4,5,4.35,14.81,1.360708535,0.243414724
help reduce,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
demand jobs,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
high school college,education,1,4,5,4.35,14.81,1.360708535,0.243414724
pleased report,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
non violent,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
day state,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
14 000,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
120 million,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
police officer,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
creating new,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
new investments,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
mr speaker members,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
parents teachers,education,1,4,5,4.35,14.81,1.360708535,0.243414724
tax reform,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
recruit retain,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
violent crime,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
public servant,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
development programs,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
public private partnership,NA,1,4,5,4.35,14.81,1.360708535,0.243414724
does,NA,9,17,26,39.13,62.96,1.356620835,0.24412398
consider,NA,7,14,21,30.43,51.85,1.356414385,0.244159868
group,NA,7,14,21,30.43,51.85,1.356414385,0.244159868
develop,NA,7,14,21,30.43,51.85,1.356414385,0.244159868
significant,NA,7,14,21,30.43,51.85,1.356414385,0.244159868
workers,economy/fiscal issues,18,14,32,78.26,51.85,1.353462158,0.244673768
access,NA,20,16,36,86.96,59.26,1.323313652,0.249998219
health care,health care,23,19,42,100,70.37,1.298059965,0.254567898
opportunities,NA,14,24,38,60.87,88.89,1.282990084,0.257343819
campaign,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
parent,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
central,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
delegation,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
turned,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
playing,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
hospitals,health care,8,5,13,34.78,18.52,1.263594698,0.260971758
saying,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
message,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
attorney,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
cover,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
good paying,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
mayor,NA,8,5,13,34.78,18.52,1.263594698,0.260971758
miles,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
scholarship,education,4,9,13,17.39,33.33,1.214046823,0.270532137
identify,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
compete,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
overall,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
accountable,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
overcome,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
celebrate,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
globe,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
kept,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
multiple,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
commit,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
field,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
transform,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
god bless great,NA,4,9,13,17.39,33.33,1.214046823,0.270532137
recently,NA,10,18,28,43.48,66.67,1.192546584,0.274816481
mental health,mental health/substance abuse,10,18,28,43.48,66.67,1.192546584,0.274816481
center,NA,10,18,28,43.48,66.67,1.192546584,0.274816481
learning,education,10,18,28,43.48,66.67,1.192546584,0.274816481
pursue,NA,9,6,15,39.13,22.22,1.183574879,0.276629421
productive,NA,9,6,15,39.13,22.22,1.183574879,0.276629421
years ve,NA,9,6,15,39.13,22.22,1.183574879,0.276629421
division,NA,9,6,15,39.13,22.22,1.183574879,0.276629421
mother,NA,9,6,15,39.13,22.22,1.183574879,0.276629421
incredible,NA,8,15,23,34.78,55.56,1.165091367,0.280412133
currently,NA,8,15,23,34.78,55.56,1.165091367,0.280412133
counties,NA,8,15,23,34.78,55.56,1.165091367,0.280412133
aside,NA,6,12,18,26.09,44.44,1.162640902,0.280918513
crime,crime/justice,6,12,18,26.09,44.44,1.162640902,0.280918513
respect,NA,10,7,17,43.48,25.93,1.125414417,0.28875557
tuition,education,10,7,17,43.48,25.93,1.125414417,0.28875557
health insurance,health care,10,7,17,43.48,25.93,1.125414417,0.28875557
protection,NA,10,7,17,43.48,25.93,1.125414417,0.28875557
majority,NA,10,7,17,43.48,25.93,1.125414417,0.28875557
lack,NA,10,7,17,43.48,25.93,1.125414417,0.28875557
advantage,NA,10,7,17,43.48,25.93,1.125414417,0.28875557
poverty,economy/fiscal issues,10,7,17,43.48,25.93,1.125414417,0.28875557
line,NA,13,22,35,56.52,81.48,1.105360018,0.293092806
federal government,NA,11,8,19,47.83,29.63,1.082210357,0.29820361
bills,NA,11,8,19,47.83,29.63,1.082210357,0.29820361
responsible,NA,11,8,19,47.83,29.63,1.082210357,0.29820361
2019,NA,11,8,19,47.83,29.63,1.082210357,0.29820361
gives,NA,11,8,19,47.83,29.63,1.082210357,0.29820361
chief,NA,11,19,30,47.83,70.37,1.052066559,0.305031619
legislative,NA,11,19,30,47.83,70.37,1.052066559,0.305031619
small business owners,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
high tech,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
tax dollars,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
opportunity zones,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
make ends meet,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
local businesses,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
jobs future,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
budget provide,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
world class education,education,4,2,6,17.39,7.41,1.031669351,0.309766908
families communities,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
community based,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
children state,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
children parents,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
children families,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
leaders state,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
work raise,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
department health,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
public private partnerships,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
distinguished members,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
private partnerships,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
good news,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
greenhouse gas,energy/environment,4,2,6,17.39,7.41,1.031669351,0.309766908
state new,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
ends meet,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
finish line,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
dedicated teachers,education,4,2,6,17.39,7.41,1.031669351,0.309766908
class education,education,4,2,6,17.39,7.41,1.031669351,0.309766908
make ends,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
make health,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
new ideas,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
100 new,NA,4,2,6,17.39,7.41,1.031669351,0.309766908
reasons,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
zero,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
passion,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
agricultural,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
clearly,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
experiences,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
lead nation,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
speech,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
south,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
established,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
youth,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
biggest,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
wise,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
expected,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
blessed,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
secondary,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
wouldn,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
friendly,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
absolutely,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
roll,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
resulting,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
year year,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
truth,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
accomplished,NA,3,7,10,13.04,25.93,1.030595813,0.310018769
employment,economy/fiscal issues,3,7,10,13.04,25.93,1.030595813,0.310018769
broadband,NA,13,10,23,56.52,37.04,1.025064762,0.311320638
run,NA,13,10,23,56.52,37.04,1.025064762,0.311320638
cabinet,NA,13,10,23,56.52,37.04,1.025064762,0.311320638
asking,NA,14,11,25,60.87,40.74,1.006441224,0.315756924
didn,NA,14,11,25,60.87,40.74,1.006441224,0.315756924
order,NA,9,16,25,39.13,59.26,1.006441224,0.315756924
fiscal,economy/fiscal issues,9,16,25,39.13,59.26,1.006441224,0.315756924
reform,NA,9,16,25,39.13,59.26,1.006441224,0.315756924
roads,NA,15,12,27,65.22,44.44,0.992485239,0.319135718
medical,health care,15,12,27,65.22,44.44,0.992485239,0.319135718
leave,NA,16,13,29,69.57,48.15,0.982231107,0.321648602
passed,NA,16,13,29,69.57,48.15,0.982231107,0.321648602
clean,NA,17,14,31,73.91,51.85,0.97496234,0.323445696
area,NA,7,13,20,30.43,48.15,0.974235105,0.323626222
faith,NA,7,13,20,30.43,48.15,0.974235105,0.323626222
state budget,economy/fiscal issues,7,13,20,30.43,48.15,0.974235105,0.323626222
projects,NA,7,13,20,30.43,48.15,0.974235105,0.323626222
chief justice,NA,7,13,20,30.43,48.15,0.974235105,0.323626222
company,economy/fiscal issues,7,13,20,30.43,48.15,0.974235105,0.323626222
state nation,NA,7,13,20,30.43,48.15,0.974235105,0.323626222
share,NA,18,15,33,78.26,55.56,0.970136144,0.324646227
started,NA,18,15,33,78.26,55.56,0.970136144,0.324646227
10,NA,18,15,33,78.26,55.56,0.970136144,0.324646227
takes,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
soon,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
provided,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
calling,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
base,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
council,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
receive,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
river,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
connected,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
served,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
violent,crime/justice,5,10,15,21.74,37.04,0.968867418,0.324962804
voters,NA,5,10,15,21.74,37.04,0.968867418,0.324962804
100,NA,19,16,35,82.61,59.26,0.967333793,0.325346024
largest,NA,12,20,32,52.17,74.07,0.930756844,0.334666337
renewable energy,energy/environment,5,3,8,21.74,11.11,0.876811594,0.349076448
new businesses,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
graduate high school,education,5,3,8,21.74,11.11,0.876811594,0.349076448
graduate high,education,5,3,8,21.74,11.11,0.876811594,0.349076448
property taxes,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
young children,education,5,3,8,21.74,11.11,0.876811594,0.349076448
business owners,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
recent years,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
moving forward,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
tens thousands,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
let remember,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
work thank,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
hundreds thousands,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
clean water,energy/environment,5,3,8,21.74,11.11,0.876811594,0.349076448
skills need,NA,5,3,8,21.74,11.11,0.876811594,0.349076448
men,NA,10,17,27,43.48,62.96,0.873203316,0.350070019
officers,NA,10,17,27,43.48,62.96,0.873203316,0.350070019
cut,NA,10,17,27,43.48,62.96,0.873203316,0.350070019
new opportunities,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
day fund,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
new york,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
opioid addiction,mental health/substance abuse,2,5,7,8.7,18.52,0.855992639,0.354862558
time state history,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
opportunity serve,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
30 million,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
continue work,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
high schools,education,2,5,7,8.7,18.52,0.855992639,0.354862558
continue make,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
grow economy,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
fully funded,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
rainy day fund,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
teacher salaries,education,2,5,7,8.7,18.52,0.855992639,0.354862558
improve lives,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
human services,NA,2,5,7,8.7,18.52,0.855992639,0.354862558
increased,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
agencies,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
recovery,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
ability,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
innovative,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
current,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
purpose,NA,8,14,22,34.78,51.85,0.82242717,0.364471473
forward,NA,16,25,41,69.57,92.59,0.803149916,0.370153262
law,NA,16,25,41,69.57,92.59,0.803149916,0.370153262
public health,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
opened,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
impacted,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
behavioral,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
fresh,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
communities state,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
way life,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
helps,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
talked,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
degrees,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
homeless,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
rural areas,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
youngest,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
owners,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
executive order,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
just like,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
loss,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
saved,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
healthier,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
enact,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
live work,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
behavioral health,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
parties,NA,6,4,10,26.09,14.81,0.789049919,0.374387564
gave,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
emergency,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
taxpayer,economy/fiscal issues,6,11,17,26.09,40.74,0.784408449,0.375796261
reforms,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
private sector,economy/fiscal issues,6,11,17,26.09,40.74,0.784408449,0.375796261
attention,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
direction,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
difficult,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
advanced,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
mind,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
time state,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
buildings,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
safer,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
feel,NA,6,11,17,26.09,40.74,0.784408449,0.375796261
servants,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
towns,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
gratitude,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
authority,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
offenders,crime/justice,4,8,12,17.39,29.63,0.775093935,0.378645801
limited,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
sales,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
war,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
required,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
physical,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
19,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
public servants,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
public service,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
present,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
experienced,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
taxpayer dollars,economy/fiscal issues,4,8,12,17.39,29.63,0.775093935,0.378645801
efficiency,NA,4,8,12,17.39,29.63,0.775093935,0.378645801
revenue,economy/fiscal issues,11,18,29,47.83,66.67,0.76011994,0.38329099
foundation,NA,11,18,29,47.83,66.67,0.76011994,0.38329099
thanks,NA,11,18,29,47.83,66.67,0.76011994,0.38329099
america,NA,11,18,29,47.83,66.67,0.76011994,0.38329099
funds,economy/fiscal issues,11,18,29,47.83,66.67,0.76011994,0.38329099
offered,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
shouldn,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
worked hard,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
hundreds millions dollars,economy/fiscal issues,7,5,12,30.43,18.52,0.734836286,0.391320038
fighting,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
protected,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
friend,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
complete,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
poor,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
date,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
ends,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
mistake,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
ambitious,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
car,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
hundreds millions,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
green,NA,7,5,12,30.43,18.52,0.734836286,0.391320038
fear,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
break,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
sent,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
forget,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
future generations,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
americans,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
carry,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
actually,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
head,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
capitol,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
director,NA,8,6,14,34.78,22.22,0.699792961,0.402853271
community college,education,8,6,14,34.78,22.22,0.699792961,0.402853271
emissions,energy/environment,8,6,14,34.78,22.22,0.699792961,0.402853271
